"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991-08","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","1.855","","","","3"
"1991-08","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","1.728","","","","3"
"1991-08","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","7.846","","","","3"
"1991-08","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","7.661","","","","3"
"1991-08","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","2.897","","","","3"
"1991-08","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","0.465","","","","3"
"1991-08","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.471","","","","3"
"1991-08","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","1.961","","","","3"
"1991-08","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","4.743","","","","3"
"1991-09","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","28.803","","","","3"
"1991-09","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","4.886","","","","3"
"1991-09","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","1.373","","","","3"
"1991-09","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.146","","","","3"
"1991-09","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","1.861","","","","3"
"1991-09","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","1.506","","","","3"
"1991-09","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","9.007","","","","3"
"1991-09","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","7.261","","","","3"
"1991-09","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","2.713","","","","3"
"1991-09","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","0.381","","","","3"
"1991-09","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.253","","","","3"
"1991-09","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","2.079","","","","3"
"1991-09","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","4.936","","","","3"
"1991-10","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","29.206","","","","3"
"1991-10","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","5.117","","","","3"
"1991-10","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","1.426","","","","3"
"1991-10","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.193","","","","3"
"1991-10","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","1.527","","","","3"
"1991-10","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","1.971","","","","3"
"1991-10","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","9.310","","","","3"
"1991-10","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","7.538","","","","3"
"1991-10","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","2.921","","","","3"
"1991-10","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","0.249","","","","3"
"1991-10","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.408","","","","3"
